size,prefix,description,type
1.75x7.25,7lvl00,"7-1/4"" LVL",LVL
1.75x9.5,9lvl00,"9-1/2"" LVL",LVL
1.75x11.78,11lvl00,"11-7/8"" LVL",LVL
1.75x14,14lvl00,"14"" LVL",LVL
1.75x16,16lvl00,"16"" LVL",LVL
1.75x18,18lvl00,"18"" LVL",LVL
3.5x9,9ts,"3.5"" x 9"" TimberStrand LSL",LSL
3.5x11,11ts,"3.5"" x 11"" TimberStrand LSL",LSL
2x8,0208fir,2x8 Solid Sawn,2x
2x10,0210fir,2x10 Solid Sawn,2x
2x12,0212fir,2x12 Solid Sawn,2x
